
state,county,precincts,reporting,clinton,edwards,gravel,obama,curry,giuliani,huckabee,keyes,mccain,paul,romney
NE,*,1699,0,0,,0,0,,,,,0,0,
NE,Adams,28,0,0,,0,0,,,,,0,0,
NE,Antelope,14,0,0,,0,0,,,,,0,0,
NE,Arthur,1,0,0,,0,0,,,,,0,0,
NE,Banner,1,0,0,,0,0,,,,,0,0,
NE,Blaine,1,0,0,,0,0,,,,,0,0,
NE,Boone,10,0,0,,0,0,,,,,0,0,
NE,Box Butte,9,0,0,,0,0,,,,,0,0,
NE,Boyd,4,0,0,,0,0,,,,,0,0,
NE,Brown,4,0,0,,0,0,,,,,0,0,
NE,Buffalo,32,0,0,,0,0,,,,,0,0,
NE,Burt,12,0,0,,0,0,,,,,0,0,
NE,Butler,21,0,0,,0,0,,,,,0,0,
NE,Cass,31,0,0,,0,0,,,,,0,0,
NE,Cedar,17,0,0,,0,0,,,,,0,0,
NE,Chase,6,0,0,,0,0,,,,,0,0,
NE,Cherry,21,0,0,,0,0,,,,,0,0,
NE,Cheyenne,10,0,0,,0,0,,,,,0,0,
NE,Clay,12,0,0,,0,0,,,,,0,0,
NE,Colfax,6,0,0,,0,0,,,,,0,0,
NE,Cuming,8,0,0,,0,0,,,,,0,0,
NE,Custer,39,0,0,,0,0,,,,,0,0,
NE,Dakota,14,0,0,,0,0,,,,,0,0,
NE,Dawes,12,0,0,,0,0,,,,,0,0,
NE,Dawson,20,0,0,,0,0,,,,,0,0,
NE,Deuel,4,0,0,,0,0,,,,,0,0,
NE,Dixon,12,0,0,,0,0,,,,,0,0,
NE,Dodge,32,0,0,,0,0,,,,,0,0,
NE,Douglas,352,0,0,,0,0,,,,,0,0,
NE,Dundy,4,0,0,,0,0,,,,,0,0,
NE,Fillmore,11,0,0,,0,0,,,,,0,0,
NE,Franklin,5,0,0,,0,0,,,,,0,0,
NE,Frontier,6,0,0,,0,0,,,,,0,0,
NE,Furnas,8,0,0,,0,0,,,,,0,0,
NE,Gage,28,0,0,,0,0,,,,,0,0,
NE,Garden,5,0,0,,0,0,,,,,0,0,
NE,Garfield,4,0,0,,0,0,,,,,0,0,
NE,Gosper,5,0,0,,0,0,,,,,0,0,
NE,Grant,1,0,0,,0,0,,,,,0,0,
NE,Greeley,5,0,0,,0,0,,,,,0,0,
NE,Hall,40,0,0,,0,0,,,,,0,0,
NE,Hamilton,12,0,0,,0,0,,,,,0,0,
NE,Harlan,9,0,0,,0,0,,,,,0,0,
NE,Hayes,4,0,0,,0,0,,,,,0,0,
NE,Hitchcock,4,0,0,,0,0,,,,,0,0,
NE,Holt,14,0,0,,0,0,,,,,0,0,
NE,Hooker,2,0,0,,0,0,,,,,0,0,
NE,Howard,9,0,0,,0,0,,,,,0,0,
NE,Jefferson,11,0,0,,0,0,,,,,0,0,
NE,Johnson,9,0,0,,0,0,,,,,0,0,
