
state,county,precincts,reporting,clinton,obama,judd,uncommitted-d,mccain,paul,uncommitted-r
ID,*,940,671,,,,,64963,21753,5634
ID,*,940,672,12312,16928,537,1395,,,
ID,Ada,141,58,1918,3853,46,127,8394,2845,770
ID,Adams,6,6,55,107,1,0,724,304,9
ID,Bannock,58,58,1590,1937,115,304,1927,672,98
ID,Bear Lake,14,14,72,85,7,2,1121,171,23
ID,Benewah,11,6,139,152,8,30,227,116,7
ID,Bingham,27,6,132,152,8,19,1179,236,201
ID,Blaine,15,0,0,0,0,0,0,0,0
ID,Boise,7,7,72,155,5,0,992,461,27
ID,Bonner,33,13,181,326,7,15,946,537,159
ID,Bonneville,52,52,511,779,11,61,4399,1269,554
ID,Boundary,7,7,174,273,6,0,879,576,0
ID,Butte,4,2,,,,,208,50,0
ID,Butte,4,3,24,18,3,0,,,
ID,Camas,2,2,17,22,3,0,216,73,0
ID,Canyon,53,45,922,1155,65,108,6163,2702,996
ID,Caribou,10,10,53,65,7,2,1596,257,61
ID,Cassia,25,25,92,89,6,12,2184,501,247
ID,Clark,3,3,4,8,3,2,200,26,10
ID,Clearwater,15,6,62,88,4,7,150,44,11
ID,Custer,9,9,81,118,10,4,648,230,33
ID,Elmore,18,14,216,210,5,31,988,258,91
ID,Franklin,17,12,30,31,1,4,1152,153,156
ID,Fremont,14,14,73,106,7,0,2221,493,0
ID,Gem,13,2,36,37,1,2,185,79,31
ID,Gooding,7,7,155,181,11,21,1318,331,133
ID,Idaho County,27,22,229,309,13,0,1411,785,0
ID,Jefferson,18,18,91,104,9,12,1204,405,94
ID,Jerome,11,6,78,72,8,3,798,202,66
ID,Kootenai,75,53,2454,2987,15,120,8785,3560,748
ID,Latah,33,15,142,259,4,18,299,110,34
ID,Lemhi,9,9,83,120,0,5,1245,379,155
ID,Lewis,8,8,118,128,8,7,412,151,15
ID,Lincoln,6,6,73,75,6,4,578,137,33
ID,Madison,19,8,23,29,3,8,996,217,97
ID,Minidoka,11,11,145,114,7,12,1338,349,215
ID,Nez Perce,37,31,530,534,26,90,1036,231,87
ID,Oneida,6,6,41,29,1,0,992,256,0
ID,Owyhee,13,13,91,104,10,85,1175,384,19
ID,Payette,10,10,200,243,6,18,976,439,45
ID,Power,7,7,86,134,4,12,236,60,21
ID,Shoshone,19,10,411,372,36,159,151,63,3
ID,Teton,5,5,166,421,4,34,542,127,61
ID,Twin Falls,45,39,467,543,20,33,2928,913,178
ID,Valley,9,5,75,131,1,4,729,213,104
ID,Washington,11,11,200,273,16,20,1115,388,42
