
state,county,precincts,reporting,clinton,obama,judd,uncommitted-d,mccain,paul,uncommitted-r
ID,*,940,742,13506,18251,608,1665,71561,23610,6233
ID,Ada,141,58,1918,3853,46,127,8394,2845,770
ID,Adams,6,6,55,107,1,0,724,304,9
ID,Bannock,58,58,1590,1937,115,304,1927,672,98
ID,Bear Lake,14,14,72,85,7,2,1121,171,23
ID,Benewah,11,8,160,184,12,30,276,145,7
ID,Bingham,27,9,159,179,9,26,1527,299,240
ID,Blaine,15,0,0,0,0,0,0,0,0
ID,Boise,7,7,72,155,5,0,992,461,27
ID,Bonner,33,19,253,432,9,22,1388,718,202
ID,Bonneville,52,52,511,779,11,61,4399,1269,554
ID,Boundary,7,7,174,273,6,0,879,576,0
ID,Butte,4,4,49,47,4,0,614,150,0
ID,Camas,2,2,17,22,3,0,216,73,0
ID,Canyon,53,45,922,1155,65,108,6163,2702,996
ID,Caribou,10,10,53,65,7,2,1596,257,61
ID,Cassia,25,25,92,89,6,12,2184,501,247
ID,Clark,3,3,4,8,3,2,200,26,10
ID,Clearwater,15,9,110,142,5,9,253,72,22
ID,Custer,9,9,81,118,10,4,648,230,33
ID,Elmore,18,18,271,259,8,34,1225,345,118
ID,Franklin,17,17,36,51,3,6,1663,230,226
ID,Fremont,14,14,73,106,7,0,2221,493,0
ID,Gem,13,5,78,82,2,4,520,186,65
ID,Gooding,7,7,155,181,11,21,1318,331,133
ID,Idaho County,27,22,229,309,13,0,1411,785,0
ID,Jefferson,18,18,92,105,9,12,1214,408,94
ID,Jerome,11,11,135,139,10,5,1512,433,113
ID,Kootenai,75,53,2454,2987,15,120,8785,3560,748
ID,Latah,33,22,243,384,7,33,505,188,54
ID,Lemhi,9,9,83,120,0,5,1245,379,155
ID,Lewis,8,8,118,128,8,7,412,151,15
ID,Lincoln,6,6,73,75,6,4,578,137,33
ID,Madison,19,19,57,94,6,15,2935,651,314
ID,Minidoka,11,11,145,114,7,12,1338,349,215
ID,Nez Perce,37,37,770,786,32,124,1470,325,107
ID,Oneida,6,6,41,29,1,0,992,256,0
ID,Owyhee,13,13,91,104,10,85,1175,384,19
ID,Payette,10,10,200,243,6,18,976,439,45
ID,Power,7,7,86,134,4,12,236,60,21
ID,Shoshone,19,15,785,702,74,343,259,108,16
ID,Teton,5,5,166,421,4,34,542,127,61
ID,Twin Falls,45,45,533,622,23,36,3424,1073,203
ID,Valley,9,8,100,173,2,6,989,353,137
ID,Washington,11,11,200,273,16,20,1115,388,42
